Name 	Vol. 	Place 	Date 	Reference 	Relationships 	Update 	Id
Θεόδωρος 	V6	Arados,Kition	P3B	IKition 2077; PPC Θ 12	child of Ζήνων	2018-03-14 	
’Αετός 	V6	Dan	hellenistic	SEG LIII 1819 a		2018-03-14 	
’Αννιανός 	V6	Abila Lysaniou	166-167	SEG XXXIX 1565, 5	child of Μοκιμος	2018-03-14 	
’Ιανουάριος 	V6	Laodikeia,Rome	imperial	CIL VI 2627		2018-03-14 	
Αα 	V6	Babylon	200-600	CIIP_III 2182; 		2018-03-14 	
Ααβεις 	test	Palmyra-Tadmur	P1B	IGLS_XVII.1 160; Notables p. 278; IGLS_XVII.1 219; IGLS_XVII.1 227; IGLS_XVII.1 238; IGLS_XVII.1 244		2018-03-14 	
Ααδεος 	V6	Doura-Europos	216-216	PDura 101 xliv 8		2018-03-14 	
Ααιλαμεις 	test	Palmyra-Tadmur	139-149	IGLS_XVII.1 159; IGLS_XVII.1 430	child of Αιρανης	2018-03-14 	
Ααιλαμεις 	test	Palmyra-Tadmur	175-225	IGLS_XVII.1 378; 	child of Ζηνόβιος	2018-03-14 	
Ααμερος 	V6	Elousa	P3-4A	SEG XLVI 1875	child of Ουαελος	2018-03-14 	
Ααρων 	V6	Wādī Ḥajjāj	byzantine	IWadi_Haggag 51; 	child of Ἀναστάσιος	2018-03-14 	
Ααρων 	V6	Wādī Ḥajjāj	byzantine	IWadi_Haggag 98; 	child of Βαροχος	2018-03-14 	
Ααφγαθεις 	test	Palmyra-Tadmur	25-75	IGLS_XVII.1 135; 		2018-03-14 	
Ααχεις 	test	Palmyra-Tadmur	P1B	IGLS_XVII.1 241; 		2018-03-14 	
Αβαβα 	V6	Al Yādūdah	imperial	IGLS_XIV_1 254, 2	child of Αλιεαβος	2018-03-14 	
Αβαβα 	V6	Samā as Sirḥān	100-600	IGLS_XXI_5 22; 	child of Σοαιδος	2018-03-14 	
Αβαβαθη 	V6	Umm al Jimāl	100-600	IGLS_XXI_5 153; 	child of Ραουαος	2018-03-14 	
Αβαβαθη 	V6	Umm al Jimāl	100-600	IGLS_XXI_5 166; 	sibling of Αιδη	2018-03-14 	
Αβαβαθη 	V6	Dhakīr	imperial	IGLS_XV_2 500; 		2018-03-14 	
Αβαβαθη 	V6	Burāq	imperial	IGLS_XV_2 536; 	child of Σαλεμος	2018-03-14 	
Αβαβαθη 	V6	Bostra	imperial	IGLS_XIII_2 9509; 	child of Βαγαδης	2018-03-14 	
Αβαβαθη 	V6	Bostra	imperial	IGLS_XIII_2 9510; 	child of Μαρῖνος	2018-03-14 	
Αβαβαιη Σομαιδαθη 	V6	Zorava	imperial	IGLS_XV_1 205; 	child of Αναμος	2018-03-14 	
Αβαβεα 	V6	Zoara	426-441	IPalTertia_Ia 168; 	child of Αυδωανος	2018-03-14 	
Αβαβεος 	V6	Bostra	imperial	IGLS_XIII_2 9511; 		2018-03-14 	
Αβαβη 	V6	Zoara	364-424	IPalTertia_Ia 123; 	child of Αβδαλμιθαβος	2018-03-14 	
Αβαβι 	V6	Khirbat al-Samrā	byzantine	SEG XLVIII 1942.44		2018-03-21 	
Αβαβιλος 	V6	Raphia	325-375	CIIP_III 2564; 		2018-03-14 	
Αβαβιος 	V6	Zoara	433/4-437/8	IPalTertia_Ia 154; 	child of Πέτρος	2018-03-14 	
Αβαβις 	V6	Al Arba‘īn	imperial	Euting_Sinaitische Taf. 4 no. 57; 	child of Σαβῖνος	2018-03-14 	
Αβαβις 	V6	Ḥibrān	imperial	IMSoueida 181, 2; (Djebel_al_Arab p. 133 no. 7.06)		2018-03-14 	
Αβαβος 	V6	Saara	161-169	IGLS_XV_1 54; 		2018-03-14 	
Αβαβος 	V6	Rimea	imperial	IGLS_XV_2 391; 		2018-03-14 	
Αβαβουιος 	V6	Doura-Europos	imperial	SEG VII 607		2018-03-14 	
Αβαβουις 	V6	Palmyra-Tadmur,Doura-Europos	31-31	TEAD 7/8 p. 307 no. 915c; (PAT 1089)	child of Σέλευκος	2018-03-14 	
Αβαβους Εὐχης 	V6	Sidon	imperial	MFOBeyrouth 1 (1906) p. 172 no. 3		2018-03-14 	
Αβαδαβος 	V6	Sachare da-Aouarae	227-227	PDura 26, 1, 7, 29		2018-03-14 	
Αβαδελγος 	V6	Rehoboth	555-555	SEG XXXVIII 1606		2018-03-14 	
Αβαζεος 	test	Palmyra-Tadmur	P2A	IGLS_XVII.1 473; 		2018-03-14 	
Αβαθη 	V6	Adraa	imperial	IGLS_XIV_1 24, 1	child of Μάρκελλος	2018-03-14 	
Αβαιδος 	V6	Doura-Europos	P1A	TEAD 5 p. 199 no. 551, 1; TEAD 5 p. 199 no. 554, 1	child of Ἡρακλείδης	2018-03-14 	
Αβαλας 	V6	Hebron	P6A	SEG VIII 240, 5		2018-03-14 	
Αβαλλας 	V6	Samā as Sirḥān	100-600	IGLS_XXI_5 57; 		2018-03-14 	
Αβανδανης 	V6	Persia--	542-542	PLRE III (-)		2018-03-14 	
Αβαος 	V6	Ṣalkhad	209-217	IMSoueida 211, 5; 	child of Αναμος	2018-03-14 	
Αβαρναιος 	V6	Doura-Europos	imperial	TEAD 5 p. 53 no. 403; TEAD 6 p. 185 no. 704	child of Ἑρμῆς	2018-03-14 	
Αβας 	V6	Doura-Europos	imperial	TEAD 5 p. 165 no. 493c		2018-03-14 	
Αβας 	V6	Wādī Ḥajjāj	byzantine	IWadi_Haggag 66; 		2018-03-14 	
Αβασαφρας 	V6	Burj Qā‘ī	PF6A	IGLS_V 2098 b		2018-03-14 	
Αβασαχρας 	V6	Ḥaqlāʼ	byzantine	IGLS_II 268		2018-03-26 	
Ἀβάσκαντος 	V6	Doura-Europos	250-256	TEAD 9 (1) p. 212 no. 940 I iv 14		2018-03-14 	
Ἀβάσκαντος 	V6	Byblos	P1-2A	SEG LIII 1805, 1		2018-03-14 	
Ἀβάσκαντος 	V6	Jerusalem	-100-100	CIIP_I.1 205; 		2018-03-14 	
Αββαθα 	test	Palmyra-Tadmur	225-225	IGLS_XVII.1 377; 	child of Ραββηλος	2018-03-14 	
Αββαθη 	V6	Adraa	imperial	IGLS_XIV_1 25, 1	child of Θεόφιλος	2018-03-14 	
Αββαιος 	V6	Gerasa	100-300	IGerasa 186; 		2018-03-14 	
Αββαλμαιος 	V6	Doura-Europos	240-240	PDura 107 i 23		2018-03-14 	
Αββαλμαιος 	V6	Doura-Europos	240-240	PDura 107 ii 18		2018-03-14 	
Αββανος 	V6	Wādī Ḥajjāj	imperial	SEG XXXI 1423; 		2018-03-14 	
Αββαρραμανος 	V6	Doura-Europos	imperial	TEAD 5 p. 146 no. 454, 22		2018-03-14 	
Αββας 	V6	Batnai-Markopolis-	249-249	PEuphr 6, 1, 8, 32; PEuphr 7, 26	child of Γορας	2018-03-14 	
Αββας 	V6	Sporakome	159-160	PDura 24, 3, 24	child of Ραγηαδαδος	2018-03-14 	
Αββας 	V6	Doura-Europos	198-198	PDura 98 ii 29		2018-03-14 	
Αββας 	V6	Nessana--	P6A	PNess 126, 2		2018-03-14 	
Αββας 	V6	Palmyra-Tadmur	imperial	IGLS_XVII.1 514; 		2018-03-14 	
Αββας 	V6	Doura-Europos	imperial	SEG VII 481, 2	child of Βοαλος	2018-03-14 	
Αββας 	V6	Doura-Europos	imperial	TEAD 5 p. 20 no. 386, 2		2018-03-14 	
Αββας 	V6	Gaza	500-800	CIIP_III 2527; 		2018-03-14 	
Αββας 	V6	Ainauatha	byzantine	IMoab 374; 	child of Γαβαλος	2018-03-14 	
Αββας 	V6	Doura-Europos	201-201	PDura 100 xlii 9; PDura 101 xlii 4	child of Ζεβιδας	2018-03-14 	
Αββας 	V6	Doura-Europos	196-196	PDura 101 xi 20		2018-03-14 	
Αββας Εὐτύχης 	V6	Mesopotamia,Seleukeia	166-166	AEp 1896, no. 21		2018-03-14 	
Αββασοβ 	V6	Kome Seron	618-618	SEG LI 2062, 3		2018-03-22 	
Αββαυις 	V6	Doura-Europos	PM1A	SEG VII 372, 7		2018-03-14 	
Αββεδας 	V6	Doura-Europos	204-204	PDura 98 i 20	child of Νίκαιος	2018-03-14 	
Αββειβας 	V6	Sachare da-Aouarae	227-227	PDura 26, 2, 9	child of Βωζανος	2018-03-14 	
Αββειβας 	V6	Doura-Europos	P1-2A	SEG II 771, 1; &SEG VII 800		2018-03-14 	
Αββεος 	V6	Karrhai-	P3A	RIU 1073, 1		2018-03-14 	
Αββεος 	V6	Elousa	P3-4A	SEG XLVI 1874		2018-03-14 	
Αββεσοβεος 	V6	Madaba	586-586	SEG LVI 1939, 6		2018-03-30 	
Αββης 	test	Palmyra-Tadmur	128-128	IGLS_XVII.1 95; 	child of Βαγεσος	2018-03-14 	
Αββι 	V6	Ioppe	200-600	CIIP_III 2222; 		2018-03-14 	
Αββιβας 	V6	Genneon--,Iulia Concordia-Concordia Sagittaria-	P4A	IG XIV 2327; SEG XXX 1149		2018-03-14 	
Αββιβας 	V6	Diokleion M.	244-244	IGLS_IV 1527b, 2; IGLS_IV 1527c	child of Καλλίνικος	2018-03-14 	
Αββιβας 	V6	Antioch	imperial	IGLS_III_1 945, 2		2018-03-16 	
Αββιβιανος 	V6	Doura-Europos	240-240	PDura 107 ii 3		2018-03-14 	
Αββιβος 	V6	Androna-Andarna	P6A	SEG LIII 1788		2018-03-14 	
Αββιβος 	V6	Zoara	435-435	IPalTertia_Ia 143; 		2018-03-14 	
Αββιβος 	V6	Gerasa	259-259	IGerasa 74, 4; 		2018-03-14 	
Αββιμης 	V6	Gerra	imperial	IGLS_VI 2981		2018-03-14 	
Αββις 	V6	Doura-Europos	207-207	PDura 98 xi 18; PDura 102 viii 9	child of Μαρωνας	2018-03-14 	
Αββις 	V6	Doura-Europos	212-212	PDura 102 vi 9	child of Ογελος	2018-03-14 	
Αββομαρης 	V6	Ioppe	200-600	CIIP_III 2230; 	child of Αββωνες	2018-03-14 	
Αββομαρι 	V6	Babylon	200-600	CIIP_III 2182; 	child of Αα	2018-03-14 	
Αββος 	V6	Nessana--	PS6A	PNess 37, 44		2018-03-14 	
Αββος 	V6	Nessana--	P6A	PNess 102, 3		2018-03-14 	
Αββος 	V6	Nessana--	P6A	PNess 143, 2, 4	child of Θωαμος	2018-03-14 	
Αββος 	V6	Adraa	imperial	IGLS_XIV_1 139, 3		2018-03-14 	
Αββος 	V6	Nessana--	541-541	Nessana I p. 181 no. 114, 5		2018-03-14 	
Αββος 	V6	Doura-Europos	imperial	TEAD 5 p. 148 no. 460, 4		2018-03-14 	
Αββος 	V6	Bostra	imperial	IGLS_XIII_1 9356, 3; 		2018-03-14 	
Αββος 	V6	Bostra	imperial	IGLS_XIII_1 9380; 		2018-03-14 	
Αββοσοβος 	V6	Hierichous-Jericho-	PM6A	SEG XL 1479, 3; (CBCMPIPT 16)	=? Αββοσουββος	2018-03-14 	
Αββοσουββος 	V6	Hierichous-Jericho-	570-570	SEG XL 1478, 4; (CBCMPIPT 16)		2018-03-14 	
Αββουαλμοζεραος 	V6	Nessana--	P6A	PNess 31, 40		2018-03-14 	
Αββουεις 	V6	Doura-Europos	134-134	PDura 23, 4		2018-03-14 	
Αββουη 	V6	Doura-Europos	imperial	TEAD 7/8 p. 174 no. 879b, 2		2018-03-14 	
Αββουις 	V6	Doura-Europos	254-254	PDura 32 verso 2		2018-03-14 	
Αββουις 	V6	Doura-Europos	imperial	TEAD 5 p. 122 no. 426, 1	child of Λυσανίας	2018-03-14 	
Αββουιωσηφος 	V6	Nessana--	P6A	PNess 31, 33	child of Δοβαβος	2018-03-14 	
