,Name ,Vol. ,Place ,Date ,Reference ,Relationships ,Uncial,Isopsephy
0,???????? ,V6,"Arados,Kition",P3B,IKition 2077; PPC ? 12,child of ?????,???????? ,1258
1,’????? ,V6,Dan,hellenistic,SEG LIII 1819 a,,????? ,576
2,’???????? ,V6,Abila Lysaniou,166-167,"SEG XXXIX 1565, 5",child of ???????,???????? ,432
3,’?????????? ,V6,"Laodikeia,Rome",imperial,CIL VI 2627,,?????????? ,912
4,?? ,V6,Babylon,200-600,CIIP_III 2182; ,,?? ,2
5,?????? ,test,Palmyra-Tadmur,P1B,IGLS_XVII.1 160; Notables p. 278; IGLS_XVII.1 219; IGLS_XVII.1 227; IGLS_XVII.1 238; IGLS_XVII.1 244,,?????? ,219
6,?????? ,V6,Doura-Europos,216-216,PDura 101 xliv 8,,?????? ,281
7,????????? ,test,Palmyra-Tadmur,139-149,IGLS_XVII.1 159; IGLS_XVII.1 430,child of ???????,????????? ,298
9,??????? ,V6,Elousa,P3-4A,SEG XLVI 1875,child of ???????,??????? ,417
10,????? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 51; ,child of ??????????,????? ,952
12,????????? ,test,Palmyra-Tadmur,25-75,IGLS_XVII.1 135; ,,????????? ,730
13,?????? ,test,Palmyra-Tadmur,P1B,IGLS_XVII.1 241; ,,?????? ,817
14,????? ,V6,Al Y?d?dah,imperial,"IGLS_XIV_1 254, 2",child of ????????,????? ,7
16,??????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 153; ,child of ???????,??????? ,24
22,??????? ????????? ,V6,Zorava,imperial,IGLS_XV_1 205; ,child of ??????,??????? ????????? ,368
23,?????? ,V6,Zoara,426-441,IPalTertia_Ia 168; ,child of ????????,?????? ,12
24,??????? ,V6,Bostra,imperial,IGLS_XIII_2 9511; ,,??????? ,281
25,????? ,V6,Zoara,364-424,IPalTertia_Ia 123; ,child of ????????????,????? ,14
26,????? ,V6,Khirbat al-Samr?,byzantine,SEG XLVIII 1942.44,,????? ,16
27,???????? ,V6,Raphia,325-375,CIIP_III 2564; ,,???????? ,316
28,??????? ,V6,Zoara,433/4-437/8,IPalTertia_Ia 154; ,child of ??????,??????? ,286
29,?????? ,V6,Al Arba‘?n,imperial,Euting_Sinaitische Taf. 4 no. 57; ,child of ???????,?????? ,216
31,?????? ,V6,Saara,161-169,IGLS_XV_1 54; ,,?????? ,276
33,????????? ,V6,Doura-Europos,imperial,SEG VII 607,,????????? ,756
34,???????? ,V6,"Palmyra-Tadmur,Doura-Europos",31-31,TEAD 7/8 p. 307 no. 915c; (PAT 1089),child of ????????,???????? ,686
35,??????? ????? ,V6,Sidon,imperial,MFOBeyrouth 1 (1906) p. 172 no. 3,,??????? ????? ,1889
36,???????? ,V6,Sachare da-Aouarae,227-227,"PDura 26, 1, 7, 29",,???????? ,281
37,????????? ,V6,Rehoboth,555-555,SEG XXXVIII 1606,,????????? ,316
38,??????? ,test,Palmyra-Tadmur,P2A,IGLS_XVII.1 473; ,,??????? ,286
39,????? ,V6,Adraa,imperial,"IGLS_XIV_1 24, 1",child of ?????????,????? ,21
40,??????? ,V6,Doura-Europos,P1A,"TEAD 5 p. 199 no. 551, 1; TEAD 5 p. 199 no. 554, 1",child of ??????????,??????? ,288
41,?????? ,V6,Hebron,P6A,"SEG VIII 240, 5",,?????? ,235
42,??????? ,V6,Sam? as Sir??n,100-600,IGLS_XXI_5 57; ,,??????? ,265
43,????????? ,V6,Persia--,542-542,PLRE III (-),,????????? ,317
44,????? ,V6,?alkhad,209-217,"IMSoueida 211, 5; ",child of ??????,????? ,274
45,????????? ,V6,Doura-Europos,imperial,TEAD 5 p. 53 no. 403; TEAD 6 p. 185 no. 704,child of ?????,????????? ,435
46,???? ,V6,Doura-Europos,imperial,TEAD 5 p. 165 no. 493c,,???? ,204
48,????????? ,V6,Burj Q?‘?,PF6A,IGLS_V 2098 b,,????????? ,1006
49,????????? ,V6,?aql??,byzantine,IGLS_II 268,,????????? ,1106
50,?????????? ,V6,Doura-Europos,250-256,TEAD 9 (1) p. 212 no. 940 I iv 14,,?????????? ,845
53,?????? ,test,Palmyra-Tadmur,225-225,IGLS_XVII.1 377; ,child of ????????,?????? ,16
54,?????? ,V6,Adraa,imperial,"IGLS_XIV_1 25, 1",child of ????????,?????? ,23
55,??????? ,V6,Gerasa,100-300,IGerasa 186; ,,??????? ,286
56,?????????? ,V6,Doura-Europos,240-240,PDura 107 i 23,,?????????? ,357
58,??????? ,V6,W?d? ?ajj?j,imperial,SEG XXXI 1423; ,,??????? ,326
59,???????????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 146 no. 454, 22",,???????????? ,568
60,????? ,V6,Batnai-Markopolis-,249-249,"PEuphr 6, 1, 8, 32; PEuphr 7, 26",child of ?????,????? ,206
71,????? ??????? ,V6,"Mesopotamia,Seleukeia",166-166,"AEp 1896, no. 21",,????? ??????? ,2119
72,??????? ,V6,Kome Seron,618-618,"SEG LI 2062, 3",,??????? ,278
73,??????? ,V6,Doura-Europos,PM1A,"SEG VII 372, 7",,??????? ,616
74,??????? ,V6,Doura-Europos,204-204,PDura 98 i 20,child of ???????,??????? ,215
75,???????? ,V6,Sachare da-Aouarae,227-227,"PDura 26, 2, 9",child of ???????,???????? ,223
77,?????? ,V6,Karrhai-,P3A,"RIU 1073, 1",,?????? ,280
79,?????????? ,V6,Madaba,586-586,"SEG LVI 1939, 6",,?????????? ,557
80,????? ,test,Palmyra-Tadmur,128-128,IGLS_XVII.1 95; ,child of ???????,????? ,213
81,???? ,V6,Ioppe,200-600,CIIP_III 2222; ,,???? ,15
82,??????? ,V6,"Genneon--,Iulia Concordia-Concordia Sagittaria-",P4A,IG XIV 2327; SEG XXX 1149,,??????? ,218
85,?????????? ,V6,Doura-Europos,240-240,PDura 107 ii 3,,?????????? ,348
86,??????? ,V6,Androna-Andarna,P6A,SEG LIII 1788,,??????? ,287
89,??????? ,V6,Gerra,imperial,IGLS_VI 2981,,??????? ,263
90,????? ,V6,Doura-Europos,207-207,PDura 98 xi 18; PDura 102 viii 9,child of ???????,????? ,215
92,????????? ,V6,Ioppe,200-600,CIIP_III 2230; ,child of ???????,????????? ,424
93,???????? ,V6,Babylon,200-600,CIIP_III 2182; ,child of ??,???????? ,226
94,????? ,V6,Nessana--,PS6A,"PNess 37, 44",,????? ,275
102,????????? ,V6,Hierichous-Jericho-,PM6A,"SEG XL 1479, 3; (CBCMPIPT 16)",=? ???????????,????????? ,617
103,??????????? ,V6,Hierichous-Jericho-,570-570,"SEG XL 1478, 4; (CBCMPIPT 16)",,??????????? ,1019
104,??????????????? ,V6,Nessana--,P6A,"PNess 31, 40",,??????????????? ,999
105,???????? ,V6,Doura-Europos,134-134,"PDura 23, 4",,???????? ,690
106,?????? ,V6,Doura-Europos,imperial,"TEAD 7/8 p. 174 no. 879b, 2",,?????? ,483
107,??????? ,V6,Doura-Europos,254-254,PDura 32 verso 2,,??????? ,685
109,???????????? ,V6,Nessana--,P6A,"PNess 31, 33",child of ???????,???????????? ,2263
110,??????? ,V6,"Admanna,Doura-Europos",214-225,PDura 12 verso x 17,child of ??????,??????? ,636
111,??????? ,V6,Ioppe,200-600,CIIP_III 2230; ,other relative of ????????,??????? ,1060
112,????? ,V6,Antiocheia-Nisibis-Nusaybin,P4_5A,Soz +HE vi 33,,????? ,1005
